title,volume,disputeTimestamp_dt,outcome_flipped,went_to_unknown_5050
Will Zelenskyy wear a suit before July?,242231180.272023,2025-07-01 03:51:59+00:00,True,False
TikTok banned in the US before May 2025?,119653357.735965,2025-01-19 06:48:39+00:00,False,False
Fed increases interest rates by 25+ bps after October 2025 meeting?,102216689.131463,2025-10-27 09:09:59+00:00,True,False
Will Trump release the Epstein files by December 19?,90915983.771306,2025-12-19 22:35:39+00:00,False,False
Will Inter Milan win the UEFA Champions League?,82978657.0443518,2025-02-18 19:44:19+00:00,True,False
"Will Eleven die in ""Stranger Things: Season 5""?",80824835.00196,2026-01-01 02:47:03+00:00,False,False
Xi Jinping out in 2025?,78655911.742866,2025-10-29 03:43:27+00:00,True,False
Will Trump launch a coin before the election?,76899060.598799,2024-10-15 14:15:06+00:00,False,False
Will Polymarket US go live in 2025?,65428102.459334,2025-12-01 15:59:04+00:00,False,False
Lighter market cap (FDV) >$1B one day after launch?,55056697.127347,2025-12-31 07:23:07+00:00,False,False
Israel x Iran ceasefire before July?,51779894.19503,2025-06-29 00:35:30+00:00,False,False
US x Venezuela military engagement by December 31?,51073020.592839,2026-01-01 07:22:01+00:00,False,False
Yoon out as president of South Korea before May?,40212917.298398,2025-04-04 03:26:12+00:00,False,False
Israel x Hezbollah Ceasefire in 2024?,40061277.633281,2024-12-01 01:26:11+00:00,False,False
Monad market cap (FDV) >$4B one day after launch?,34894820.551069,2025-11-25 15:40:05+00:00,False,False
"Will Melania say ""Career"" during AI talk on Friday?",31097575.061839,2026-01-16 21:18:20+00:00,False,False
Will Trump nominate Kevin Warsh as the next Fed chair?,28837338.607644,2026-02-01 13:13:52+00:00,True,False
Fordow nuclear facility destroyed before July?,28623187.178979,2025-06-26 11:27:04+00:00,False,False
U.S. anti-cartel ground operation in Mexico by January 31?,28408393.436147,2026-02-01 07:26:10+00:00,True,False
Israel military action against Iraq before November?,27780153.857752,2024-10-26 14:04:06+00:00,False,False
