entity_signature,pm_market_id,pm_title,pm_contract_key,kalshi_market_id,kalshi_title,kalshi_contract_key,reject_reason
asset_threshold|threshold|bitcoin|above|130000,515504,"Will Bitcoin reach $130,000 by March 31?",asset_threshold|threshold|bitcoin|by:2025-03-31|above|130000,KXBTCMAXM-AUG25-AUG01-129999.99,How high will Bitcoin get this year?,asset_threshold|threshold|bitcoin|above|130000,deadline_mismatch:by:2025-03-31!=<blank>
asset_threshold|threshold|bitcoin|above|130000,516865,"Will Bitcoin reach $130,000 by December 31, 2025?",asset_threshold|threshold|bitcoin|year:2025|above|130000,KXBTCMAXM-AUG25-AUG01-129999.99,How high will Bitcoin get this year?,asset_threshold|threshold|bitcoin|above|130000,deadline_mismatch:year:2025!=<blank>
asset_threshold|threshold|bitcoin|above|150000,515503,"Will Bitcoin reach $150,000 by March 31?",asset_threshold|threshold|bitcoin|by:2025-03-31|above|150000,KXBTCMAXY-25-DEC31-149999.99,How high will Bitcoin get this year?,asset_threshold|threshold|bitcoin|year:2025|above|150000,deadline_mismatch:by:2025-03-31!=year:2025
asset_threshold|threshold|bitcoin|above|200000,515502,"Will Bitcoin reach $200,000 by March 31?",asset_threshold|threshold|bitcoin|by:2025-03-31|above|200000,KXBTCMAXY-25-DEC31-199999.99,How high will Bitcoin get this year?,asset_threshold|threshold|bitcoin|year:2025|above|200000,deadline_mismatch:by:2025-03-31!=year:2025
asset_threshold|threshold|bitcoin|below|50000,526181,"Will Bitcoin dip to $50,000 by March 31?",asset_threshold|threshold|bitcoin|by:2025-03-31|below|50000,KXBTCMINY-25-DEC31-50000,How low will Bitcoin get this year?,asset_threshold|threshold|bitcoin|year:2025|below|50000,deadline_mismatch:by:2025-03-31!=year:2025
asset_threshold|threshold|bitcoin|below|70000,515557,"Will Bitcoin dip to $70,000 by March 31?",asset_threshold|threshold|bitcoin|by:2025-03-31|below|70000,KXBTCMINY-25-DEC31-70000,How low will Bitcoin get this year?,asset_threshold|threshold|bitcoin|year:2025|below|70000,deadline_mismatch:by:2025-03-31!=year:2025
asset_threshold|threshold|ethereum|above|4000,516879,"Will Ethereum hit $4,000 by December 31?",asset_threshold|threshold|ethereum|by:2025-12-31|above|4000,KXETHMAXY-25DEC31-3999.99,How high will Ethereum get this year?,asset_threshold|threshold|ethereum|year:2025|above|4000,deadline_mismatch:by:2025-12-31!=year:2025
asset_threshold|threshold|ethereum|above|4500,515514,"Will Ethereum hit $4,500.00 by March 31?",asset_threshold|threshold|ethereum|by:2025-03-31|above|4500,KXETHMAXY-25DEC31-4499.99,How high will Ethereum get this year?,asset_threshold|threshold|ethereum|year:2025|above|4500,deadline_mismatch:by:2025-03-31!=year:2025
asset_threshold|threshold|ethereum|above|5000,515511,"Will Ethereum hit $5,000.00 by March 31?",asset_threshold|threshold|ethereum|by:2025-03-31|above|5000,KXETHMAXY-25DEC31-4999.99,How high will Ethereum get this year?,asset_threshold|threshold|ethereum|year:2025|above|5000,deadline_mismatch:by:2025-03-31!=year:2025
asset_threshold|threshold|ethereum|above|5000,516878,"Will Ethereum hit $5,000 by December 31?",asset_threshold|threshold|ethereum|by:2025-12-31|above|5000,KXETHMAXY-25DEC31-4999.99,How high will Ethereum get this year?,asset_threshold|threshold|ethereum|year:2025|above|5000,deadline_mismatch:by:2025-12-31!=year:2025
leader_contact|meet|donald_trump|vladimir_putin,516143,Will Putin meet with Trump in first 100 days?,leader_contact|meet|donald_trump|vladimir_putin|period:first_100_days,KXWLEADER-25-VP,Will Trump meet with Vladimir Putin before 2026?,leader_contact|meet|donald_trump|vladimir_putin|year:2025,deadline_mismatch:period:first_100_days!=year:2025
leader_contact|meet|donald_trump|vladimir_putin,527081,Will Trump meet with Putin in Saudi Arabia before June?,leader_contact|meet|donald_trump|vladimir_putin|before:2025-06-01,KXWLEADER-25-VP,Will Trump meet with Vladimir Putin before 2026?,leader_contact|meet|donald_trump|vladimir_putin|year:2025,deadline_mismatch:before:2025-06-01!=year:2025
leader_contact|meet|donald_trump|vladimir_putin,555447,Will Putin meet with Trump by September 30?,leader_contact|meet|donald_trump|vladimir_putin|by:2025-09-30,KXWLEADER-25-VP,Will Trump meet with Vladimir Putin before 2026?,leader_contact|meet|donald_trump|vladimir_putin|year:2025,deadline_mismatch:by:2025-09-30!=year:2025
leader_contact|meet|donald_trump|volodymyr_zelenskyy,519844,Will Trump meet with Volodymyr Zelenskyy in his first 100 days?,leader_contact|meet|donald_trump|volodymyr_zelenskyy|period:first_100_days,KXWLEADERUKR-25MAR-VZEL,Will Trump meet with Volodomyr Zelenskyy before 2025?,leader_contact|meet|donald_trump|volodymyr_zelenskyy|year:2024,deadline_mismatch:period:first_100_days!=year:2024
leader_contact|meet|donald_trump|volodymyr_zelenskyy,522878,Will Trump meet with Putin or Zelenskyy first?,leader_contact|meet|donald_trump|volodymyr_zelenskyy,KXWLEADERUKR-25MAR-VZEL,Will Trump meet with Volodomyr Zelenskyy before 2025?,leader_contact|meet|donald_trump|volodymyr_zelenskyy|year:2024,deadline_mismatch:<blank>!=year:2024
leader_contact|meet|donald_trump|volodymyr_zelenskyy,524145,Will Trump meet with Zelenskyy before July?,leader_contact|meet|donald_trump|volodymyr_zelenskyy|before:2025-07-01,KXWLEADERUKR-25MAR-VZEL,Will Trump meet with Volodomyr Zelenskyy before 2025?,leader_contact|meet|donald_trump|volodymyr_zelenskyy|year:2024,deadline_mismatch:before:2025-07-01!=year:2024
leader_contact|meet|donald_trump|volodymyr_zelenskyy,524147,Will Trump meet with Volodymyr Zelenskyy in 2025?,leader_contact|meet|donald_trump|volodymyr_zelenskyy|year:2025,KXWLEADERUKR-25MAR-VZEL,Will Trump meet with Volodomyr Zelenskyy before 2025?,leader_contact|meet|donald_trump|volodymyr_zelenskyy|year:2024,deadline_mismatch:year:2025!=year:2024
leader_contact|meet|donald_trump|xi_jinping,519845,Will Trump meet with Xi Jinping in his first 100 days?,leader_contact|meet|donald_trump|xi_jinping|period:first_100_days,KXWLEADER-25-XJIN,Will Trump meet with Xi Jinping before 2025?,leader_contact|meet|donald_trump|xi_jinping|year:2024,deadline_mismatch:period:first_100_days!=year:2024
leader_contact|meet|donald_trump|xi_jinping,524148,Will Trump meet with Xi Jinping in 2025?,leader_contact|meet|donald_trump|xi_jinping|year:2025,KXWLEADER-25-XJIN,Will Trump meet with Xi Jinping before 2025?,leader_contact|meet|donald_trump|xi_jinping|year:2024,deadline_mismatch:year:2025!=year:2024
leader_contact|meet|donald_trump|xi_jinping,549997,Will Trump meet with Xi Jinping before August?,leader_contact|meet|donald_trump|xi_jinping|before:2025-08-01,KXWLEADER-25-XJIN,Will Trump meet with Xi Jinping before 2025?,leader_contact|meet|donald_trump|xi_jinping|year:2024,deadline_mismatch:before:2025-08-01!=year:2024
leader_contact|visit|donald_trump|canada,518864,Will Donald Trump visit Canada in 2025?,leader_contact|visit|donald_trump|canada|year:2025,KXPRESVISIT-26-CA,Will Trump visit Canada in the first year?,leader_contact|visit|donald_trump|canada|period:first_year,deadline_mismatch:year:2025!=period:first_year
leader_contact|visit|donald_trump|china,519732,Will Donald Trump visit China in 2025?,leader_contact|visit|donald_trump|china|year:2025,KXPRESVISIT-26-PRC,Will Trump visit China in the first year?,leader_contact|visit|donald_trump|china|period:first_year,deadline_mismatch:year:2025!=period:first_year
leader_contact|visit|donald_trump|china,549999,Will Trump visit China before September?,leader_contact|visit|donald_trump|china|before:2025-09-01,KXPRESVISIT-26-PRC,Will Trump visit China in the first year?,leader_contact|visit|donald_trump|china|period:first_year,deadline_mismatch:before:2025-09-01!=period:first_year
leader_contact|visit|donald_trump|france,518871,Will Donald Trump visit France in 2025?,leader_contact|visit|donald_trump|france|year:2025,KXPRESVISIT-26-FR,Will Trump visit France in the first year?,leader_contact|visit|donald_trump|france|period:first_year,deadline_mismatch:year:2025!=period:first_year
