id,condition_id,question,slug,outcomes,outcome_prices,clob_token_ids,volume,liquidity,active,closed,end_date,created_at,market_maker_address,_fetched_at,created_ts,end_ts,volume_num
507892,0x763cc84a3cde36b9ce12a8afe6d3e1e3e46e50692e8ec47636c7803c1033cfab,Will the Sacramento Kings win the 2025 NBA Finals?,will-the-sacramento-kings-win-the-2025-nba-finals,"[""Yes"", ""No""]","[""0"", ""1""]","[""41257670817876317355997233596113195194194608207987371129645019730826567930842"", ""6337766885333966690546293438662675059330486971861645192801950206137287554438""]",378011506.511399,0.0,True,True,2025-06-23 05:00:00-07:00,2024-09-24 08:33:30.214289-07:00,,2026-02-03 22:24:51.447103,2024-09-24 08:33:30.214289,2025-06-23 05:00:00,378011506.511399
507894,0x37963e2b3194455fe768cd470571640c758c049b7cda6967449a43a8bd5c835f,Will the Toronto Raptors win the 2025 NBA Finals?,will-the-toronto-raptors-win-the-2025-nba-finals,"[""Yes"", ""No""]","[""0"", ""1""]","[""8615283304849028269259042680787343769500144068672958710059180099366119214927"", ""23538341502367016460214883076280471618080465904528266058055509584419858222978""]",154220299.964432,0.0,True,True,2025-06-23 05:00:00-07:00,2024-09-24 08:34:33.830533-07:00,,2026-02-03 22:24:51.447103,2024-09-24 08:34:33.830533,2025-06-23 05:00:00,154220299.964432
507286,0xce0f82dc8bb789ffd3bc2928db80bbc539fa04dd223d6e15e2d81eabf8e279fe,Will Aston Villa win the UEFA Champions League?,will-aston-villa-win-the-uefa-champions-league,"[""Yes"", ""No""]","[""0"", ""1""]","[""17148991929546304218678959738430213065524880357303658607403556776126482126118"", ""113944511437047286070977074222535617181404611267671592896303826271480616303572""]",133113813.382904,0.0,True,True,2025-05-31 05:00:00-07:00,2024-09-17 10:21:16.527578-07:00,,2026-02-03 22:24:51.047724,2024-09-17 10:21:16.527578,2025-05-31 05:00:00,133113813.382904
507896,0xbba16a21398862877d2ba91d7221be625b4514066580c91c6acbc32b03fe7997,Will the Washington Wizards win the 2025 NBA Finals?,will-the-washington-wizards-win-the-2025-nba-finals,"[""Yes"", ""No""]","[""0"", ""1""]","[""24107569157155697291965151336634632343913784446472286927398284356905040243642"", ""21681197057124220318103273802306437383246529014429637515490905139174082175006""]",130194075.547845,0.0,True,True,2025-06-23 05:00:00-07:00,2024-09-24 08:35:19.262234-07:00,,2026-02-03 22:24:51.447103,2024-09-24 08:35:19.262234,2025-06-23 05:00:00,130194075.547845
507895,0x305df84a4e3cdedb1a70ddec73949c64311247dbf7f41c236ee6a795dcc3d347,Will the Utah Jazz win the 2025 NBA Finals?,will-the-utah-jazz-win-the-2025-nba-finals,"[""Yes"", ""No""]","[""0"", ""1""]","[""76259649122453061705337281599154338919732329508586858056504569811939186829612"", ""93053730364096945099420634270857903025282374897779411302504029345560486022565""]",129911351.465261,0.0,True,True,2025-06-23 05:00:00-07:00,2024-09-24 08:35:02.582586-07:00,,2026-02-03 22:24:51.447103,2024-09-24 08:35:02.582586,2025-06-23 05:00:00,129911351.465261
507276,0xef8cf8b45ef7e3a607a72b6e1d56bede869fdd81795b63db847de1090bf11c41,TikTok banned in the US before May 2025?,tiktok-banned-in-the-us-before-may-2025,"[""Yes"", ""No""]","[""1"", ""0""]","[""24635636911615866092589652362670811323984202357282728474473612545495782013438"", ""77833150719418088778043805955239482801946237829699651267940477301583416794868""]",119653357.735965,0.0,True,True,2025-04-30 05:00:00-07:00,2024-09-17 07:54:44.751998-07:00,,2026-02-03 22:24:51.047724,2024-09-17 07:54:44.751998,2025-04-30 05:00:00,119653357.735965
507859,0x3329697f75e759b7fb781e52314d4322492a6d0816e8465d90091af88a3f4219,Will the Charlotte Hornets win the 2025 NBA Finals?,will-the-charlotte-hornets-win-the-2025-nba-finals,"[""Yes"", ""No""]","[""0"", ""1""]","[""25436247939029572982277188919226292094124958162220886464449785995391293568622"", ""56462050406307387707510640903112171397949812400075668383842741498747916885864""]",116668813.604393,0.0,True,True,2025-06-23 05:00:00-07:00,2024-09-24 08:19:44.221043-07:00,,2026-02-03 22:24:51.447103,2024-09-24 08:19:44.221043,2025-06-23 05:00:00,116668813.604393
506742,0x341f95039c52c92771e5bc889c2482ef8472bf82a1a5d222051eb0b62a6cf23f,Nottingham Forest wins the Premier League?,nottingham-forest-wins-the-premier-league,"[""Yes"", ""No""]","[""0"", ""1""]","[""26236892725262807235372062505277176822581817393263948638256147417812762302719"", ""88622598699701433637163071032576232752219887205018441110238931614665163964172""]",101429202.233424,0.0,True,True,2025-05-25 05:00:00-07:00,2024-09-09 12:33:14.819631-07:00,,2026-02-03 22:24:50.543523,2024-09-09 12:33:14.819631,2025-05-25 05:00:00,101429202.233424
506743,0x0c0fbd8b82167afa7d8549d04d9e8f7accb3ae0e93395935ca7c2c03977f4760,Southampton wins the Premier League?,southampton-wins-the-premier-league,"[""Yes"", ""No""]","[""0"", ""1""]","[""20832933656054158835732321660966223238114947766668813575333655613524039271955"", ""37961695791793163431711930656418715625837838134387631084919449718689491160875""]",88209349.4471296,0.0,True,True,2025-05-25 05:00:00-07:00,2024-09-09 12:33:35.897468-07:00,,2026-02-03 22:24:50.543523,2024-09-09 12:33:35.897468,2025-05-25 05:00:00,88209349.4471296
507873,0xadc74c7282d955d2603b56ba7eee2831b295bb71596a056e46e5848b13562377,Will the Miami Heat win the 2025 NBA Finals?,will-the-miami-heat-win-the-2025-nba-finals,"[""Yes"", ""No""]","[""0"", ""1""]","[""71756442590660491673156664734013342965864122310221063879432941094895719980340"", ""67740208634199394092030948170002994321618139597644907007671740246862363143726""]",86041732.719889,0.0,True,True,2025-06-23 05:00:00-07:00,2024-09-24 08:24:58.212755-07:00,,2026-02-03 22:24:51.447103,2024-09-24 08:24:58.212755,2025-06-23 05:00:00,86041732.719889
507300,0x7beceb04f7b1d4f0dde80b58c6f43c23b8ad54b21c693e172c974f480b46483c,Will Inter Milan win the UEFA Champions League?,will-inter-milan-win-the-uefa-champions-league,"[""Yes"", ""No""]","[""0"", ""1""]","[""38626294313509935541386699081410949237349566230461651187135121754117545664676"", ""65364971108743229299115080961714574928050691076397658748681151538041220144291""]",82978657.0443518,0.0,True,True,2025-05-31 05:00:00-07:00,2024-09-17 10:27:16.600626-07:00,,2026-02-03 22:24:51.047724,2024-09-17 10:27:16.600626,2025-05-31 05:00:00,82978657.0443518
519075,0x784d67eb3b205e7f6543b09d8737d5dc1c2a14d43a102bbb59f7f4f94fc56135,Will Hunor Kelemen win the Romanian presidential election?,romania-presidential-election-winner-will-hunor-kelemen-win-the-romanian-presidential-election,"[""Yes"", ""No""]","[""0"", ""1""]","[""76281740581554871499625003009408244592747070827294693281849801034738430468659"", ""5779930821109846262669669484867584068088577191267413527354857886763878120297""]",80897096.543524,0.0,True,True,2025-12-31 04:00:00-08:00,2025-01-17 13:29:06.381245-08:00,,2026-02-03 22:25:01.848960,2025-01-17 13:29:06.381245,2025-12-31 04:00:00,80897096.543524
516719,0x8ee2f1640386310eb5e7ffa596ba9335f2d324e303d21b0dfea6998874445791,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,"[""Yes"", ""No""]","[""0"", ""1""]","[""15974786252393396629980467963784550802583781222733347534844974829144359265969"", ""42351579455604873042957090441032286075880144797259231030267680078160718556927""]",73752993.267722,0.0,True,True,2025-12-31 04:00:00-08:00,2024-12-29 10:47:35.140745-08:00,,2026-02-03 22:24:59.475633,2024-12-29 10:47:35.140745,2025-12-31 04:00:00,73752993.267722
507401,0x7e84002d49c772d2083afaec7fbe129481f7ef8d269973dfa9b14c7fe9ee0b03,Will Real Betis win La Liga?,will-real-betis-win-la-liga,"[""Yes"", ""No""]","[""0"", ""1""]","[""57347954830757602532770026282045341155932075534885412925884793796669919928517"", ""109547932536602645681858879932490263255336541519562782002725197705064745570156""]",71762810.4120828,0.0,True,True,2025-05-25 05:00:00-07:00,2024-09-17 19:39:50.598799-07:00,,2026-02-03 22:24:51.047724,2024-09-17 19:39:50.598799,2025-05-25 05:00:00,71762810.4120828
508802,0xc04462123e838b52edd396aeb20c6b1486cb82c01d3d8932d531d1e0dd612c80,Will the Charlotte Hornets win the Eastern Conference?,will-the-charlotte-hornets-win-the-eastern-conference,"[""Yes"", ""No""]","[""0"", ""1""]","[""105332059079340409148839488935364187861008882152440142439623346647690530922186"", ""25953687081145148101263574655805902877209908275792246241934519264613236011697""]",71286704.6916941,0.0,True,True,2025-06-05 05:00:00-07:00,2024-10-03 14:57:59.629409-07:00,,2026-02-03 22:24:52.078627,2024-10-03 14:57:59.629409,2025-06-05 05:00:00,71286704.6916941
506740,0xc3c4c99a9b9173154a4b121e3a996c685a2a481a7da0aea144eb600886d85560,Manchester United wins the Premier League?,manchester-united-win-the-premier-league,"[""Yes"", ""No""]","[""0"", ""1""]","[""107618163744247214337048907908877578009778058453499449832423049771355754531578"", ""16917477772175311216502957946378709945893406003384210524387488477127630874498""]",71063868.0240101,0.0,True,True,2025-05-25 05:00:00-07:00,2024-09-09 12:32:26.091515-07:00,,2026-02-03 22:24:50.543523,2024-09-09 12:32:26.091515,2025-05-25 05:00:00,71063868.0240101
